"Site Crawled","https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/"
"Start Date","2026-03-03"
"Start Time","14:02:29"
"Last Modified Date","2026-03-03"
"Last Modified Time","14:05:50"
"Elapsed","00:03:20"
"Report Date","2026-03-03"
"Report Time","14:05:50"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Links Must Be Distinguishable","0","0.00%","15",""
"Links Require Discernible Text","0","0.00%","15",""
"Links With Same Accessible Name","0","0.00%","15",""
"Select Element Requires Accessible Name","0","0.00%","15",""
"Summary Elements Require Discernible Text","0","0.00%","15",""
"Deprecated <marquee> Element Must Not Be Used","0","0.00%","15",""
"<blink> Elements Deprecated & Must Not Be Used","0","0.00%","15",""
"Text Requires Higher Color Contrast Ratio","0","0.00%","15",""
"Text Requires Higher Color Contrast to Background","0","0.00%","15",""
"Touch Targets Require Sufficient Size & Spacing","0","0.00%","15",""
"Interactive Controls Must Not Be Nested","0","0.00%","15",""
"List Items Must Be Contained In List Elements","0","0.00%","15",""
"Lists Must Only Contain <li> Content Elements","0","0.00%","15",""
"<dl> Must Only Have Ordered <dt> & <dd> Groups","0","0.00%","15",""
"<dt> & <dd> Elements Must Be Contained by <dl>","0","0.00%","15",""
"<th> Element Requires Associated Data Cells","0","0.00%","15",""
"Table Header Attr Must Refer To Cell In Same Table","0","0.00%","15",""
"Table Headers Require Discernible Text","0","0.00%","15",""
"Table With Identical Summary & Caption Text","0","0.00%","15",""
"Scope Attribute Should Be Used Correctly On Tables","0","0.00%","15",""
""
"Custom Search"
"All","15","100.00%","15","Internal HTML pages with 2xx response"
""
"Custom Extraction"
"All","15","100.00%","15","Internal HTML pages with 2xx response"
""
"Custom JavaScript"
"All","15","100.00%","15","Internal HTML pages with 2xx response"
""
"Analytics"
"All","16","100.00%","16","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0.00%","16","Internal URLs with associated Google Analytics data"
"Bounce Rate Above 70%","0","0.00%","16","Internal URLs with associated Google Analytics data"
"No GA Data","0","0.00%","16","Internal URLs with associated Google Analytics data"
"Non-Indexable with GA Data","0","0.00%","16","Internal URLs with associated Google Analytics data"
"Orphan URLs","0","0.00%","16","Internal URLs with associated Google Analytics data"
""
"Search Console"
"All","16","100.00%","16","Internal URLs with associated Google Search Console data"
"Clicks Above 0","0","0.00%","16","Internal URLs with associated Google Search Console data"
"No Search Analytics Data","0","0.00%","16","Internal URLs with associated Google Search Console data"
"Non-Indexable with Search Analytics Data","0","0.00%","16","Internal URLs with associated Google Search Console data"
"Orphan URLs","0","0.00%","16","Internal URLs with associated Google Search Console data"
"URL is Not on Google","0","0.00%","16","Internal URLs with associated Google Search Console data"
"Indexable URL Not Indexed","0","0.00%","16","Internal URLs with associated Google Search Console data"
"URL is on Google But Has Issues","0","0.00%","16","Internal URLs with associated Google Search Console data"
"User-Declared Canonical Not Selected","0","0.00%","16","Internal URLs with associated Google Search Console data"
"Page is Not Mobile Friendly","0","0.00%","16","Internal URLs with associated Google Search Console data"
"AMP URL Invalid","0","0.00%","16","Internal URLs with associated Google Search Console data"
"Rich Result Invalid","0","0.00%","16","Internal URLs with associated Google Search Console data"
""
"Validation"
"All","20","100.00%","20","Internal URLs with 2xx response"
"Invalid HTML Elements in <head>","0","0.00%","20","Internal URLs with 2xx response"
"<body> Element Preceding <html>","0","0.00%","20","Internal URLs with 2xx response"
"<head> Not First In <html> Element","0","0.00%","20","Internal URLs with 2xx response"
"Missing <head> Tag","0","0.00%","20","Internal URLs with 2xx response"
"Multiple <head> Tags","0","0.00%","20","Internal URLs with 2xx response"
"Missing <body> Tag","0","0.00%","20","Internal URLs with 2xx response"
"Multiple <body> Tags","0","0.00%","20","Internal URLs with 2xx response"
"HTML Document Over 2MB","0","0.00%","20","Internal URLs with 2xx response"
"Resource Over 2MB","0","0.00%","20","Internal URLs with 2xx response"
"High Carbon Rating","0","0.00%","20","Internal URLs with 2xx response"
""
"Link Metrics"
"All","16","100.00%","16","Internal HTML/PDF pages"
""
"AI"
"All","15","100.00%","15","Internal HTML URLs with 2xx response"
""
""
"Depth (Clicks from Start URL)"
"0","1","6.67%","15","Internal HTML pages with 2xx response"
"1","13","86.67%","15","Internal HTML pages with 2xx response"
"2","1","6.67%","15","Internal HTML pages with 2xx response"
"3","0","0.00%","15","Internal HTML pages with 2xx response"
"4","0","0.00%","15","Internal HTML pages with 2xx response"
"5","0","0.00%","15","Internal HTML pages with 2xx response"
"6","0","0.00%","15","Internal HTML pages with 2xx response"
"7","0","0.00%","15","Internal HTML pages with 2xx response"
"8","0","0.00%","15","Internal HTML pages with 2xx response"
"9","0","0.00%","15","Internal HTML pages with 2xx response"
"10+","0","0.00%","15","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/adv","15","100.00%","15","Internal HTML pages with 2xx response"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/terms","15","100.00%","15","Internal HTML pages with 2xx response"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/disclosures","15","100.00%","15","Internal HTML pages with 2xx response"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/","15","100.00%","15","Internal HTML pages with 2xx response"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/privacy","15","100.00%","15","Internal HTML pages with 2xx response"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/contact","14","93.33%","15","Internal HTML pages with 2xx response"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/get-started","11","73.33%","15","Internal HTML pages with 2xx response"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/investment-management","11","73.33%","15","Internal HTML pages with 2xx response"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/planning-retirement","11","73.33%","15","Internal HTML pages with 2xx response"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/planning","11","73.33%","15","Internal HTML pages with 2xx response"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/planning-business-exits","11","73.33%","15","Internal HTML pages with 2xx response"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/planning-special-needs","11","73.33%","15","Internal HTML pages with 2xx response"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/about","11","73.33%","15","Internal HTML pages with 2xx response"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/blog","11","73.33%","15","Internal HTML pages with 2xx response"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/autism-resource-navigator","3","20.00%","15","Internal HTML pages with 2xx response"
""
"Response Time (Seconds)","URLs","% of Total"
"1","19","100.00%"
