"Address","Content Type","Status Code","Status","Indexability","Indexability Status"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/login","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/privacy","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/about","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/blog","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/planning-special-needs","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/planning-business-exits","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/planning","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/disclosures","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/planning-retirement","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/terms","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/contact","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/investment-management","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/adv","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/get-started","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/assets/images/gs/family-beach-hawaii.jpg","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/assets/images/gs/rv-road-trip.jpg","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/assets/images/gs/special-needs-planning.jpg","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/assets/images/gs/fishing-emerald-coast.jpg","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/autism-resource-navigator","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex"
